Marquee	Easting,Northing_1	Easting,Northing_2	Easting,Northing_3	Easting,Northing_4
M Bazar 6x6 7	475953.3287,137459.0559	475951.0811,137464.619	475956.6442,137466.8666	475958.8918,137461.3035
M Bazar 6x6 8	475957.3228,137398.4414	475955.0751,137404.0045	475960.6382,137406.2521	475962.8859,137400.689
M Bazar 6x6 9	475964.7402,137401.4382	475962.4926,137407.0013	475968.0557,137409.2489	475970.3033,137403.6858
M Bazar 6x6 10	475972.1577,137404.4351	475969.9101,137409.9982	475975.4732,137412.2458	475977.7208,137406.6827
M Bazar 6x9 1	475932.2888,137388.327	475930.0412,137393.8901	475938.3858,137397.2615	475940.6334,137391.6984
M Bazar 6x9 2	475983.9276,137416.2009	475978.3645,137413.9532	475974.993,137422.2979	475980.5561,137424.5455
Main Office 6x26	476283.5588,137892.8939	476259.9948,137903.882	476257.4591,137898.4442	476281.0231,137887.4561
Maintenance 6x18	476151.0096,137253.4189	476154.0096,137248.2227	476138.4212,137239.2227	476135.4212,137244.4189
Makhzan 22x25	476094.6016,137486.1466	476072.951,137473.6466	476061.951,137492.6991	476083.6016,137505.1991
Mauritius Accom 9x18	476477.0759,137737.8802	476459.3493,137741.0058	476457.7865,137732.1426	476475.513,137729.0169
Men's Accommodation 3 20x60	475933.1335,137340.8644	475955.6099,137285.2334	475937.0662,137277.7412	475914.5898,137333.3723
Men's Dining 25x125	476042.4843,137445.3661	476089.3101,137329.4682	476066.1305,137320.103	476019.3047,137436.001
Men's Scanning 15x24	475962.6624,137491.5805	475972.0399,137469.4883	475985.8475,137475.3493	475976.47,137497.4414
Mens Accom 1	475986.2101,137401.6968	475997.4483,137373.8813	475941.8173,137351.4049	475930.5791,137379.2204
Mother and Child 1 20x60	476218.1159,137626.49	476271.0928,137598.3217	476261.7033,137580.6628	476208.7265,137608.8311
Mulaqat Sec 5x5	476249.6882,137795.3895	476251.8013,137799.921	476247.2698,137802.0341	476245.1567,137797.5026
Mulaqat Sec 6x6	476244.734,137796.5962	476242.1983,137791.1584	476247.6362,137788.6227	476250.1719,137794.0605
Nau Mubaieen 6x9	476011.7904,137641.6629	476003.7012,137637.7175	476006.3314,137632.3248	476014.4206,137636.2701
Nau Mubaieen 9x12	476291.929,137366.7623	476297.929,137356.37	476290.1348,137351.87	476284.1348,137362.2623
Nau Mubaieen Accommodation 9x18	476495.2948,137734.6677	476493.732,137725.8044	476476.0054,137728.9301	476477.5683,137737.7934
Nizamat Mastoorat 6x6	476139.4226,137687.2242	476136.7924,137692.617	476142.1851,137695.2472	476144.8153,137689.8545
Overseas Accom 1 9x15	476408.1393,137750.0355	476406.5765,137741.1723	476391.8044,137743.777	476393.3672,137752.6403
Overseas Accom 2 9x15	476423.4038,137747.344	476421.841,137738.4807	476407.0689,137741.0855	476408.6317,137749.9487
Press & Media 6x6	476365.5656,137462.2161	476362.5656,137467.4122	476367.7618,137470.4122	476370.7618,137465.2161
Press 10x20	476295.1168,137347.2408	476303.7771,137352.2408	476313.7771,137334.9203	476305.1168,137329.9203
Press 6x9	476198.1108,137339.9861	476193.6108,137347.7804	476188.4146,137344.7804	476192.9146,137336.9861
Push Chair 12x24	476197.3751,137647.145	476218.5658,137635.8777	476224.1995,137646.473	476203.0087,137657.7404
Rabita Office 6x15	476193.1108,137348.6464	476185.6108,137361.6368	476180.4146,137358.6368	476187.9146,137345.6464
Rabta M 4x6	476444.2759,137448.8858	476449.4721,137451.8858	476451.4721,137448.4217	476446.2759,137445.4217
Raqeem Press 6x6	476161.7515,137242.4229	476158.7515,137247.6191	476163.9477,137250.6191	476166.9477,137245.4229
Reception 6x18	476003.2518,137637.4983	475987.0735,137629.6077	475989.7037,137624.2149	476005.882,137632.1056
Registration 12x24	476045.9445,137658.321	476024.3735,137647.8001	476029.6339,137637.0145	476051.205,137647.5354
Registration 9x15	476440.3035,137421.7663	476447.8035,137408.7759	476440.0093,137404.2759	476432.5093,137417.2663
Registration Accom 6x9	476031.3654,137631.1834	476028.7351,137636.5762	476020.646,137632.6308	476023.2762,137627.2381
Reserve 1 25x55	476270.7854,137313.3841	476258.2854,137335.0347	476210.654,137307.5347	476223.154,137285.8841
Reserve 2 9x30	476280.4518,137367.6414	476284.9518,137359.8472	476258.971,137344.8472	476254.471,137352.6414
Reserve Accommodation 9x21	476458.8569,137741.0927	476438.1759,137744.7393	476436.6131,137735.876	476457.2941,137732.2294
Rishta Nata 9x21	476122.2455,137535.6873	476130.192,137531.462	476120.3331,137512.9201	476112.3865,137517.1454
Sami Basri 20x45	476193.1417,137487.198	476232.8743,137466.0718	476223.4849,137448.4129	476183.7523,137469.5391
Sami Basri 8x15	476184.2561,137478.3317	476171.0119,137485.3738	476167.2562,137478.3102	476180.5004,137471.2681
Scanning 9x15	476417.7665,137408.7545	476425.2665,137395.7642	476417.4722,137391.2642	476409.9722,137404.2545
Scanning Accomm 6x6	475963.7554,137465.9718	475961.5078,137471.5349	475967.0709,137473.7825	475969.3185,137468.2194
Showers	476001.4514,137402.2463	475997.0009,137400.4482	475997.8999,137398.2229	476002.3504,137400.021
Shuttle Waiting Area 9x30	476131.9262,137698.0318	476135.8715,137689.9427	476108.9077,137676.7915	476104.9623,137684.8807
Site Equip Crew	476495.0641,137727.6004	476497.5261,137727.1663	476498.7416,137734.0599	476496.2796,137734.494
Surrey Police	475995.8479,137460.596	475990.2848,137458.3483	475991.4086,137455.5668	475996.9717,137457.8144
Tabligh 20x20	476294.6838,137346.9908	476304.6838,137329.6703	476287.3633,137319.6703	476277.3633,137336.9908
Tabligh 9x12	476363.8599,137483.1705	476369.8599,137472.7782	476362.0656,137468.2782	476356.0656,137478.6705
Tea Stall 6x24 1	476029.824,137294.7435	476032.0721,137289.1805	476054.3238,137298.1728	476052.0758,137303.7357
Tea Stall 6x24 2	476329.0547,137611.4548	476341.0547,137590.6702	476335.8586,137587.6702	476323.8586,137608.4548
Tent Office 3x5	476451.1813,137729.2354	476446.2573,137730.1036	476445.7363,137727.1492	476450.6604,137726.281
Ticket Office 9x12	476163.1392,137318.4327	476173.5315,137324.4327	476169.0315,137332.227	476158.6392,137326.227
Toilets 1	475904.183,137413.8541	475906.501,137414.7907	475908.7486,137409.2275	475906.4306,137408.291
Toilets 2	475977.0903,137614.0569	475980.0903,137608.8608	475982.2553,137610.1108	475979.2553,137615.3069
Toilets 3	475980.1214,137615.8069	475983.1214,137610.6108	475985.2864,137611.8608	475982.2864,137617.0569
